id_evento,fecha_evento,decline_code,decline_tipo,red,acquirer,bin,card_type,monto_ars,attempt_number,tokenized,card_expiry_delta_dias,user_id,archetype_id,employment_type,digital_literacy,tenure_meses,prior_recoveries,engagement_recency_dias,arpu_ars,day_of_month,days_to_quincena,days_to_fin_de_mes,is_aguinaldo_month,anses_pay_flag,indec_ipc_mom,bcra_rate,billetera_yield_proxy,action_window,action_channel,action_tone,recovered,recovery_day_offset,contexto_cliente
EVT0000014,2025-11-25,65,soft,Visa,Geopagos,420359,credito,8600.0,6,True,391,USR0000093,empleado_privado_formal,empleado_privado,alta,26,3,19,7900.0,25,20,3,0,0,0.053,0.4936,0.3632,inmediata,whatsapp,formal,1,2,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000015,2025-07-18,51,soft,Cabal,Fiserv,668991,debito,4700.0,1,True,280,USR0000588,trabajador_informal,informal,media,5,0,43,5200.0,18,28,13,0,0,0.0324,0.5024,0.444,quincena,whatsapp,empatico,0,-1,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000016,2025-12-04,91,soft,Visa,Payway,477139,debito,14000.0,3,True,564,USR0000056,profesional_salud,empleado_privado,alta,16,1,10,13600.0,4,11,27,1,1,0.0617,0.5807,0.4803,inmediata,whatsapp,cercano,1,1,Profesional de la salud (enfermero / técnico) (ingreso_estable_con_guardias)
EVT0000017,2025-10-12,05,soft,Visa,Payway,482956,credito,6400.0,1,True,369,USR0000440,docente,empleado_publico,media,39,3,62,6400.0,12,3,19,0,1,0.061,0.4586,0.3928,inmediata,whatsapp,empatico,1,3,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000018,2025-12-25,65,soft,Mastercard,Payway,500888,debito,23600.0,2,False,232,USR0000451,profesional_independiente,autonomo,alta,7,2,8,25200.0,25,21,6,1,0,0.0342,0.4298,0.3401,inmediata,llamada,formal,0,-1,"Profesional independiente (abogado, contador, etc.) (ingreso_alto_irregular)"
EVT0000019,2025-11-10,51,soft,Mastercard,Fiserv,571489,debito,10100.0,1,True,211,USR0000597,profesional_salud,empleado_privado,alta,24,0,19,9200.0,10,4,18,0,1,0.0489,0.6752,0.4981,fin_de_mes,llamada,cercano,1,18,Profesional de la salud (enfermero / técnico) (ingreso_estable_con_guardias)
EVT0000020,2026-01-16,51,soft,Cabal,Payway,656467,debito,2600.0,2,False,411,USR0000106,jubilado,jubilado,baja,61,7,9,2600.0,16,28,14,0,0,0.0317,0.5443,0.5059,post_quincena,llamada,empatico,0,-1,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000021,2026-01-10,05,soft,Visa,Fiserv,405679,credito,10700.0,7,False,68,USR0000304,docente,empleado_publico,media,54,3,17,10200.0,10,5,20,0,1,0.0485,0.6789,0.6423,inmediata,push,empatico,1,3,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000022,2026-03-23,05,soft,Naranja,Geopagos,507602,credito,4400.0,1,True,407,USR0000157,jubilado,jubilado,baja,51,2,31,4100.0,23,23,8,0,0,0.0329,0.4474,0.4027,inmediata,llamada,cercano,1,4,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000023,2026-02-16,91,soft,Mastercard,Payway,548537,debito,6600.0,1,False,77,USR0000297,empleado_privado_formal,empleado_privado,alta,65,2,30,6700.0,16,25,11,0,0,0.0758,0.5638,0.4521,inmediata,whatsapp,urgente_suave,1,4,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000024,2026-05-09,51,soft,Visa,Payway,450349,debito,3500.0,4,True,231,USR0000475,jubilado,jubilado,baja,55,4,24,3200.0,9,6,20,0,1,0.0568,0.5718,0.443,anses,llamada,empatico,1,2,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000025,2026-05-20,51,soft,Mastercard,Payway,596927,credito,8200.0,3,False,362,USR0000381,taxista_remis,autonomo,media,23,0,147,8900.0,20,26,9,0,0,0.0333,0.3644,0.261,quincena,whatsapp,cercano,1,27,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000026,2025-11-09,51,soft,Visa,Geopagos,424102,credito,12000.0,2,True,437,USR0000029,empleado_privado_formal,empleado_privado,alta,29,2,3,12000.0,9,5,19,0,1,0.0108,0.4303,0.3747,post_quincena,whatsapp,formal,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000027,2025-07-08,51,soft,Visa,Fiserv,498011,debito,9600.0,3,False,319,USR0000328,empleado_comercio,empleado_privado,media,11,1,82,9500.0,8,7,23,0,1,0.0316,0.5509,0.5122,fin_de_mes,llamada,cercano,1,24,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000028,2026-03-30,51,soft,Visa,Payway,480733,debito,2500.0,4,True,351,USR0000002,trabajador_informal,informal,media,1,0,0,2400.0,30,16,1,0,0,0.048,0.4625,0.3438,quincena,email,cercano,0,-1,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000029,2025-11-19,57,hard,Mastercard,Payway,557045,debito,8400.0,1,True,511,USR0000590,empleado_comercio,empleado_privado,media,22,0,46,7900.0,19,26,9,0,0,0.0287,0.5776,0.5021,post_fecha_resumen,whatsapp,empatico,0,-1,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000030,2025-11-23,05,soft,Visa,Payway,446316,credito,8000.0,1,False,363,USR0000301,empleado_privado_formal,empleado_privado,alta,35,3,22,8500.0,23,22,5,0,0,0.0632,0.3362,0.3011,inmediata,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000031,2025-08-04,51,soft,Naranja,Payway,587986,credito,18500.0,2,False,227,USR0000146,empleado_publico,empleado_publico,media,43,2,9,18200.0,4,11,25,0,1,0.0452,0.5769,0.5026,fin_de_mes,push,cercano,0,-1,Empleado público (ingreso_estable_fin_de_mes)
EVT0000032,2025-12-11,51,soft,Visa,Other,451004,debito,7100.0,1,True,255,USR0000064,monotributista,autonomo,alta,11,5,3,7100.0,11,4,20,1,1,0.0637,0.5155,0.3733,post_aguinaldo,sms,cercano,1,8,Monotributista (ingreso_irregular_fin_de_mes)
EVT0000033,2026-04-17,51,soft,Visa,Other,417070,credito,7000.0,1,True,84,USR0000177,trabajador_informal,informal,media,2,0,14,6500.0,17,28,13,0,0,0.0533,0.5002,0.439,anses,whatsapp,cercano,1,26,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000034,2025-08-24,91,soft,Mastercard,Payway,545358,credito,3800.0,2,False,361,USR0000279,pensionado_no_contributivo,jubilado,baja,45,2,1,3500.0,24,22,5,0,0,0.058,0.5669,0.4424,inmediata,llamada,empatico,0,-1,Pensionado no contributivo (ingreso_fijo_anses)
EVT0000035,2026-04-13,05,soft,Amex,Geopagos,315093,credito,45300.0,5,True,326,USR0000435,profesional_independiente,autonomo,alta,16,1,86,43100.0,13,2,17,0,0,0.0339,0.6239,0.4569,inmediata,sms,formal,1,2,"Profesional independiente (abogado, contador, etc.) (ingreso_alto_irregular)"
EVT0000036,2025-07-25,05,soft,Naranja,Geopagos,545106,credito,4200.0,7,False,420,USR0000244,jubilado,jubilado,baja,46,3,27,4200.0,25,21,6,0,0,0.0434,0.5782,0.5088,inmediata,sms,empatico,1,5,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000037,2025-10-19,51,soft,Mastercard,Payway,563083,credito,6500.0,1,False,310,USR0000264,docente,empleado_publico,media,66,3,11,6000.0,19,26,12,0,0,0.0542,0.3814,0.3578,quincena,whatsapp,cercano,1,26,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000038,2026-02-19,91,soft,Mastercard,Payway,519883,credito,15200.0,2,True,192,USR0000342,empleado_privado_formal,empleado_privado,alta,39,7,5,14800.0,19,22,8,0,0,0.0472,0.5829,0.4456,inmediata,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000039,2025-08-27,65,soft,Cabal,Other,667611,debito,8500.0,2,False,182,USR0000146,empleado_privado_formal,empleado_privado,alta,43,1,11,9100.0,27,19,2,0,0,0.0515,0.555,0.5112,fin_de_mes,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000040,2025-12-18,91,soft,Naranja,Payway,510671,credito,4800.0,1,False,80,USR0000168,ama_de_casa,sin_relacion_dependencia,media,24,3,19,4900.0,18,28,13,1,0,0.0673,0.5283,0.4347,quincena,whatsapp,empatico,0,-1,Ama/o de casa con AUH (ingreso_auh_anses)
EVT0000041,2025-07-24,51,soft,Mastercard,Payway,536783,debito,6800.0,3,False,576,USR0000051,empleado_privado_formal,empleado_privado,alta,32,2,7,6400.0,24,22,7,0,0,0.0437,0.5503,0.4491,post_quincena,whatsapp,cercano,1,24,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000042,2025-07-21,65,soft,Naranja,Payway,539614,debito,7700.0,6,True,62,USR0000371,empleado_comercio,empleado_privado,media,14,0,35,7000.0,21,25,10,0,0,0.0302,0.4811,0.4365,anses,whatsapp,cercano,0,-1,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000043,2025-09-27,61,soft,Mastercard,Fiserv,572151,credito,5000.0,1,True,236,USR0000016,docente,empleado_publico,media,39,1,12,5500.0,27,18,3,0,0,0.068,0.6306,0.5889,post_fecha_resumen,whatsapp,cercano,0,-1,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000044,2025-09-12,51,soft,Visa,Payway,468133,debito,22700.0,3,True,262,USR0000240,empleado_privado_formal,empleado_privado,alta,41,1,1,23800.0,12,3,18,0,1,0.0178,0.37,0.2703,post_fecha_resumen,push,cercano,1,28,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000045,2026-05-09,05,soft,Visa,Other,483454,credito,7000.0,3,True,414,USR0000162,monotributista,autonomo,alta,10,0,5,7200.0,9,6,20,0,1,0.03,0.6847,0.5492,inmediata,whatsapp,urgente_suave,1,4,Monotributista (ingreso_irregular_fin_de_mes)
EVT0000046,2025-12-01,05,soft,Mastercard,Payway,593035,credito,4600.0,1,True,290,USR0000023,trabajador_informal,informal,media,1,0,12,4700.0,1,14,30,1,1,0.0549,0.602,0.5221,inmediata,llamada,formal,1,2,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000047,2025-10-23,51,soft,Cabal,Geopagos,672440,debito,2500.0,2,True,333,USR0000303,ama_de_casa,sin_relacion_dependencia,media,18,2,34,2400.0,23,22,8,0,0,0.0214,0.4971,0.3713,anses,whatsapp,empatico,0,-1,Ama/o de casa con AUH (ingreso_auh_anses)
EVT0000048,2025-12-12,54,hard,Visa,Geopagos,414118,credito,3800.0,6,True,-76,USR0000268,trabajador_informal,informal,media,6,0,28,4000.0,12,3,19,1,1,0.0336,0.5051,0.4012,fin_de_mes,whatsapp,cercano,0,-1,Trabajador informal / changas (ingreso_diario_efectivo)
EVT0000049,2025-08-17,51,soft,Naranja,Fiserv,528492,credito,16200.0,2,True,387,USR0000433,empleado_publico,empleado_publico,media,27,3,19,15800.0,17,29,12,0,0,0.0587,0.5413,0.385,post_aguinaldo,whatsapp,cercano,1,125,Empleado público (ingreso_estable_fin_de_mes)
EVT0000050,2025-12-30,51,soft,Visa,Payway,419237,debito,4600.0,6,False,-2,USR0000116,rural_agro,empleado_privado,baja,9,3,44,5000.0,30,16,1,1,0,0.0533,0.5642,0.5217,fin_de_mes,whatsapp,cercano,1,3,Trabajador rural / agro (estacional) (ingreso_estacional)
EVT0000051,2025-11-11,65,soft,Visa,Payway,486003,credito,19800.0,3,False,18,USR0000391,empleado_privado_formal,empleado_privado,alta,31,1,1,21000.0,11,3,17,0,1,0.0376,0.5035,0.4241,quincena,sms,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000052,2026-04-21,51,soft,Visa,Payway,469833,credito,3800.0,3,False,464,USR0000307,pensionado_no_contributivo,jubilado,baja,61,2,68,3900.0,21,24,9,0,0,0.0311,0.4805,0.3962,anses,llamada,empatico,0,-1,Pensionado no contributivo (ingreso_fijo_anses)
EVT0000053,2025-12-10,05,soft,Visa,Geopagos,460590,credito,5300.0,5,False,220,USR0000447,docente,empleado_publico,media,46,4,38,5900.0,10,5,21,1,1,0.0594,0.492,0.39,inmediata,email,empatico,1,2,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000054,2025-08-08,05,soft,Amex,Payway,375109,credito,11200.0,3,False,365,USR0000253,empleado_comercio,empleado_privado,media,9,0,7,11700.0,8,7,21,0,1,0.0244,0.5763,0.4428,inmediata,whatsapp,cercano,1,5,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000055,2025-12-12,91,soft,Visa,Payway,422331,credito,7700.0,4,True,326,USR0000282,taxista_remis,autonomo,media,9,0,24,8100.0,12,3,19,1,1,0.0584,0.3902,0.2962,inmediata,whatsapp,urgente_suave,0,-1,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000056,2026-01-26,91,soft,Visa,Payway,470544,debito,24400.0,6,True,108,USR0000569,ejecutivo_corporativo,empleado_privado,alta,48,6,7,24100.0,26,18,4,0,0,0.0655,0.5311,0.4175,inmediata,email,formal,1,2,Ejecutivo / perfil corporativo (ingreso_alto_estable)
EVT0000057,2026-02-14,54,hard,Visa,Payway,419299,credito,5800.0,1,True,-241,USR0000124,docente,empleado_publico,media,71,3,10,5500.0,14,27,13,0,0,0.0501,0.549,0.4989,inmediata,whatsapp,cercano,1,4,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000058,2025-08-17,51,soft,Mastercard,Payway,532111,credito,15600.0,3,False,375,USR0000247,comerciante_minorista,autonomo,media,9,0,20,14500.0,17,29,12,0,0,0.0442,0.6406,0.5234,fin_de_mes,whatsapp,cercano,0,-1,Comerciante minorista / PyME (flujo_caja_variable)
EVT0000059,2026-01-22,51,soft,Visa,Payway,420954,debito,4000.0,1,True,309,USR0000076,rural_agro,empleado_privado,baja,14,0,15,4100.0,22,22,8,0,0,0.0689,0.58,0.5318,fin_de_mes,push,empatico,0,-1,Trabajador rural / agro (estacional) (ingreso_estacional)
EVT0000060,2025-09-02,65,soft,Mastercard,Payway,551762,credito,4500.0,2,True,264,USR0000382,joven_profesional,empleado_privado,alta,5,1,24,4500.0,2,13,28,0,1,0.0392,0.5311,0.3968,post_aguinaldo,whatsapp,empatico,1,108,Joven profesional (primer empleo) (ingreso_estable_bajo_quincena)
EVT0000061,2026-01-20,51,soft,Cabal,Other,645763,debito,3500.0,5,True,497,USR0000249,jubilado,jubilado,baja,38,1,22,3600.0,20,24,10,0,0,0.0296,0.507,0.4177,anses,llamada,empatico,0,-1,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000062,2026-05-19,51,soft,Cabal,Geopagos,678225,debito,23100.0,1,False,201,USR0000406,empleado_privado_formal,empleado_privado,alta,50,4,25,24500.0,19,27,10,0,0,0.0604,0.5369,0.4848,post_quincena,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000063,2026-05-11,51,soft,Visa,Payway,430090,debito,2700.0,5,False,281,USR0000479,estudiante,informal,alta,1,0,14,2600.0,11,4,18,0,1,0.0234,0.5087,0.4001,fin_de_mes,whatsapp,urgente_suave,1,18,Estudiante universitario (ingreso_irregular_changas)
EVT0000064,2026-04-14,65,soft,Visa,Other,423724,credito,2900.0,1,True,641,USR0000198,estudiante,informal,alta,5,0,27,2900.0,14,1,16,0,0,0.0461,0.4559,0.396,anses,whatsapp,cercano,1,27,Estudiante universitario (ingreso_irregular_changas)
EVT0000065,2025-11-28,91,soft,Mastercard,Other,594540,credito,2400.0,3,False,461,USR0000387,gastronomico,empleado_privado,media,4,0,8,2300.0,28,17,0,0,0,0.0302,0.605,0.4944,fin_de_mes,whatsapp,cercano,1,34,Trabajador gastronómico (ingreso_variable_propinas)
EVT0000066,2025-11-25,51,soft,Mastercard,Payway,519914,debito,6300.0,4,True,395,USR0000065,taxista_remis,autonomo,media,17,1,4,6400.0,25,20,3,0,0,0.0157,0.3921,0.3026,quincena,whatsapp,cercano,0,-1,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000067,2025-12-27,62,soft,Visa,Other,468239,credito,10000.0,5,True,76,USR0000591,profesional_salud,empleado_privado,alta,14,1,12,9200.0,27,19,4,1,0,0.0483,0.5293,0.4696,inmediata,whatsapp,cercano,0,-1,Profesional de la salud (enfermero / técnico) (ingreso_estable_con_guardias)
EVT0000068,2025-11-30,05,soft,Visa,Payway,411268,credito,8200.0,1,False,378,USR0000329,empleado_publico,empleado_publico,media,37,2,0,8100.0,30,15,31,0,0,0.0604,0.5732,0.4028,inmediata,email,cercano,0,-1,Empleado público (ingreso_estable_fin_de_mes)
EVT0000069,2026-04-24,91,soft,Visa,Payway,447372,credito,11200.0,1,True,353,USR0000248,joven_profesional,empleado_privado,alta,2,0,124,10700.0,24,21,6,0,0,0.0531,0.632,0.5174,anses,whatsapp,cercano,1,17,Joven profesional (primer empleo) (ingreso_estable_bajo_quincena)
EVT0000070,2025-11-26,62,soft,Amex,Payway,323959,debito,8000.0,7,False,401,USR0000556,empleado_comercio,empleado_privado,media,20,2,12,7300.0,26,19,2,0,0,0.0604,0.5246,0.4643,inmediata,whatsapp,empatico,1,2,Empleado de comercio (CCT comercio) (ingreso_estable_fin_de_mes)
EVT0000071,2026-05-27,51,soft,Visa,Geopagos,459570,credito,3700.0,1,False,45,USR0000306,gastronomico,empleado_privado,media,2,0,22,3500.0,27,19,2,0,0,0.0123,0.5196,0.3752,post_fecha_resumen,whatsapp,cercano,1,15,Trabajador gastronómico (ingreso_variable_propinas)
EVT0000072,2025-10-23,05,soft,Visa,Payway,426113,credito,3000.0,4,True,347,USR0000148,beneficiario_plan_social,sin_relacion_dependencia,media,22,0,11,3200.0,23,22,8,0,0,0.0569,0.5311,0.4089,inmediata,email,formal,1,2,Beneficiario de plan social (ingreso_plan_social_anses)
EVT0000073,2025-07-02,65,soft,Mastercard,Payway,531065,credito,5100.0,5,False,346,USR0000287,docente,empleado_publico,media,72,6,6,5500.0,2,13,29,0,1,0.0515,0.5701,0.447,anses,whatsapp,cercano,1,6,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000074,2025-09-09,51,soft,Naranja,Payway,507500,credito,4000.0,10,True,286,USR0000428,posgrado_becario,becario,alta,19,1,28,4000.0,9,6,21,0,1,0.0481,0.5118,0.4832,fin_de_mes,whatsapp,cercano,1,23,"Becario de posgrado (CONICET, etc.) (ingreso_beca_fin_de_mes)"
EVT0000075,2026-02-17,51,soft,Visa,Geopagos,437446,credito,8000.0,7,True,453,USR0000204,empleado_publico,empleado_publico,media,41,1,6,8500.0,17,24,10,0,0,0.0505,0.5966,0.5574,quincena,push,formal,0,-1,Empleado público (ingreso_estable_fin_de_mes)
EVT0000076,2025-10-27,05,soft,Amex,Payway,302091,credito,18400.0,1,True,293,USR0000019,comerciante_minorista,autonomo,media,13,0,9,20300.0,27,18,4,0,0,0.0511,0.581,0.436,post_quincena,email,cercano,1,20,Comerciante minorista / PyME (flujo_caja_variable)
EVT0000077,2026-03-21,57,hard,Visa,Payway,478730,credito,11700.0,1,False,454,USR0000516,taxista_remis,autonomo,media,23,4,9,11100.0,21,25,10,0,0,0.0509,0.5897,0.4789,inmediata,whatsapp,cercano,0,-1,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000078,2026-05-01,05,soft,Visa,Fiserv,435017,debito,8500.0,1,False,224,USR0000108,docente,empleado_publico,media,41,3,1,7900.0,1,14,28,0,1,0.0498,0.6507,0.4984,post_fecha_resumen,whatsapp,cercano,0,-1,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000079,2026-04-05,51,soft,Mastercard,Payway,539282,debito,9800.0,2,True,111,USR0000515,empleado_privado_formal,empleado_privado,alta,33,5,4,9400.0,5,10,25,0,1,0.0194,0.4909,0.3823,post_quincena,whatsapp,cercano,0,-1,Empleado privado en relación de dependencia (ingreso_estable_quincena)
EVT0000080,2025-09-25,51,soft,Mastercard,Fiserv,556407,credito,6500.0,2,True,409,USR0000598,joven_profesional,empleado_privado,alta,6,0,6,7000.0,25,20,5,0,0,0.03,0.5529,0.4404,post_quincena,whatsapp,formal,1,21,Joven profesional (primer empleo) (ingreso_estable_bajo_quincena)
EVT0000081,2026-03-21,91,soft,Mastercard,Fiserv,597307,credito,4700.0,1,True,302,USR0000093,estudiante,informal,alta,3,0,46,4700.0,21,25,10,0,0,0.0353,0.4312,0.3696,fin_de_mes,push,cercano,1,10,Estudiante universitario (ingreso_irregular_changas)
EVT0000082,2026-04-20,51,soft,Visa,Geopagos,432604,credito,8800.0,10,False,21,USR0000055,profesional_salud,empleado_privado,alta,22,1,0,9200.0,20,25,10,0,0,0.0213,0.4904,0.3439,post_fecha_resumen,llamada,cercano,0,-1,Profesional de la salud (enfermero / técnico) (ingreso_estable_con_guardias)
EVT0000083,2025-10-19,05,soft,Amex,Payway,380330,credito,26100.0,5,True,208,USR0000125,comerciante_minorista,autonomo,media,9,0,2,27900.0,19,26,12,0,0,0.0545,0.6227,0.4768,post_quincena,whatsapp,cercano,0,-1,Comerciante minorista / PyME (flujo_caja_variable)
EVT0000084,2026-03-08,51,soft,Mastercard,Payway,548355,credito,3700.0,4,True,532,USR0000531,estudiante,informal,alta,1,0,11,4000.0,8,5,23,0,1,0.0374,0.5255,0.3753,inmediata,whatsapp,cercano,0,-1,Estudiante universitario (ingreso_irregular_changas)
EVT0000085,2025-12-14,51,soft,Cabal,Fiserv,624081,debito,3200.0,2,True,383,USR0000068,jubilado,jubilado,baja,56,2,19,3200.0,14,1,17,1,0,0.0528,0.3724,0.3168,anses,llamada,empatico,1,28,Jubilado / pensionado ANSES (ingreso_fijo_anses)
EVT0000086,2025-07-17,51,soft,Mastercard,Payway,585378,debito,9800.0,1,True,600,USR0000323,taxista_remis,autonomo,media,12,1,7,8900.0,17,29,14,0,0,0.0444,0.5658,0.51,quincena,whatsapp,cercano,0,-1,Conductor de app / taxista / remisero (ingreso_diario_efectivo)
EVT0000087,2026-02-18,51,soft,Mastercard,Other,532951,debito,2400.0,5,True,229,USR0000114,posgrado_becario,becario,alta,7,1,19,2500.0,18,23,9,0,0,0.0456,0.5431,0.4926,post_fecha_resumen,whatsapp,empatico,0,-1,"Becario de posgrado (CONICET, etc.) (ingreso_beca_fin_de_mes)"
EVT0000088,2026-02-12,14,hard,Visa,Payway,465348,debito,6700.0,3,False,496,USR0000227,docente,empleado_publico,media,52,5,6,6600.0,12,1,15,0,1,0.0397,0.3602,0.3133,inmediata,whatsapp,cercano,0,-1,Docente (maestro / profesor) (ingreso_estable_fin_de_mes)
EVT0000089,2026-01-19,51,soft,Cabal,Payway,635233,debito,4800.0,8,True,664,USR0000241,trabajador_informal,informal,media,1,0,12,4900.0,19,25,11,0,0,0.0297,0.5582,0.4985,anses,whatsapp,cercano,0,-1,Trabajador informal / changas (ingreso_diario_efectivo)
